amfi_code,CAGR,Sharpe_Ratio,Alpha,Maximum_Drawdown,expense_ratio_pct,CAGR_Rank,Sharpe_Rank,Alpha_Rank,Expense_Ratio_Rank,Max_DD_Rank,CAGR_Score,Sharpe_Score,Alpha_Score,Expense_Score,Max_DD_Score,Final_Score,Final_Rank
120505,0.3282740607461121,1.180101197660648,0.29263583341750954,-0.18188513572116294,1.36,1.0,5.0,3.0,15.0,25.0,100.0,89.74358974358975,94.87179487179486,64.1025641025641,38.46153846153847,84.87179487179486,1.0
148567,0.3097410750185903,1.448291170326253,0.26983751441917886,-0.11265729075028275,1.46,5.0,1.0,7.0,23.0,8.0,89.74358974358975,100.0,84.61538461538461,43.58974358974359,82.05128205128204,83.58974358974358,2.0
120843,0.3090745475400549,1.306743969542841,0.2733046503830598,-0.1297396816518679,1.45,6.0,2.0,5.0,22.0,13.0,87.17948717948718,97.43589743589743,89.74358974358975,46.15384615384615,69.23076923076923,82.3076923076923,3.0
100033,0.3012315310072722,1.0936987435346326,0.271953545012853,-0.16217208574644848,1.38,7.0,7.0,6.0,16.0,20.0,84.61538461538461,84.61538461538461,87.17948717948718,61.53846153846154,51.28205128205128,78.33333333333333,4.0
148569,0.3194952310833252,1.2349300257743312,0.2827036785246577,-0.1639674294693263,1.6,4.0,3.0,4.0,36.0,21.0,92.3076923076923,94.87179487179486,92.3076923076923,10.256410256410255,48.717948717948715,76.28205128205128,5.0
119598,0.32423536152454613,0.945308257515609,0.30336965386983256,-0.2870600572176455,1.43,2.0,14.0,1.0,21.0,36.0,97.43589743589743,66.66666666666666,100.0,48.717948717948715,10.256410256410255,74.23076923076921,6.0
120504,0.2329511862010305,1.0265242847992984,0.21194827013525636,-0.12588275606922517,0.8,13.0,10.0,13.0,12.0,12.0,69.23076923076923,76.92307692307693,69.23076923076923,71.7948717948718,71.7948717948718,71.7948717948718,7.0
149324,0.3228744045157361,0.9497958246616012,0.3005787817097667,-0.31171900300634214,1.52,3.0,13.0,2.0,26.0,37.0,94.87179487179486,69.23076923076923,97.43589743589743,35.8974358974359,7.6923076923076925,71.41025641025641,8.0
119552,0.21524235873769704,0.9532794968660094,0.19868599366862885,-0.11803493502764295,0.66,15.0,12.0,15.0,4.0,11.0,64.1025641025641,71.7948717948718,64.1025641025641,92.3076923076923,74.35897435897436,71.28205128205128,9.0
119551,0.25804686425584,1.208266567372714,0.2320100716063496,-0.1501238549864533,1.54,10.0,4.0,10.0,30.0,17.0,76.92307692307693,92.3076923076923,76.92307692307693,25.64102564102564,58.97435897435898,71.28205128205128,9.0
119094,0.2821441719365203,0.99823098686364,0.26076669080042136,-0.20960883862039192,1.38,9.0,11.0,9.0,16.0,28.0,79.48717948717949,74.35897435897436,79.48717948717949,61.53846153846154,30.76923076923077,70.64102564102565,11.0
118632,0.24049492662391758,1.0816591793457038,0.2182939790460857,-0.17414075086657232,1.51,11.0,8.0,11.0,24.0,23.0,74.35897435897436,82.05128205128204,74.35897435897436,41.02564102564102,43.58974358974359,68.2051282051282,12.0
149323,0.29581086910433996,1.1321218524747207,0.26598577542042906,-0.17248105753451382,1.61,8.0,6.0,8.0,38.0,22.0,82.05128205128204,87.17948717948718,82.05128205128204,5.128205128205128,46.15384615384615,68.2051282051282,12.0
101206,0.2353836133468803,1.0272133278753697,0.2139978477605115,-0.11291596329323073,1.6,12.0,9.0,12.0,36.0,9.0,71.7948717948718,79.48717948717949,71.7948717948718,10.256410256410255,79.48717948717949,65.25641025641025,14.0
125497,0.19017795344711463,0.7757902498211184,0.17729754927531685,-0.15200013055606398,0.92,16.0,18.0,16.0,14.0,18.0,61.53846153846154,56.41025641025641,61.53846153846154,66.66666666666666,56.41025641025641,60.51282051282051,15.0
148568,0.2251686900711385,0.9262873467360143,0.20873010086942273,-0.1527259422823477,1.52,14.0,15.0,14.0,26.0,19.0,66.66666666666666,64.1025641025641,66.66666666666666,35.8974358974359,53.84615384615385,60.128205128205124,16.0
120503,0.18785325598262204,0.7979728586052822,0.1770330236584399,-0.13897862823061635,1.42,17.0,17.0,17.0,20.0,14.0,58.97435897435898,58.97435897435898,58.97435897435898,51.28205128205128,66.66666666666666,58.58974358974359,17.0
102885,0.18232378887705947,0.8170993373494355,0.1704875680341263,-0.1085986215250232,1.57,18.0,16.0,19.0,34.0,7.0,56.41025641025641,61.53846153846154,53.84615384615385,15.384615384615385,84.61538461538461,53.84615384615385,18.0
118635,0.15957231179671738,0.6648569985490606,0.15136354648239184,-0.1165062450540909,0.89,23.0,19.0,23.0,13.0,10.0,43.58974358974359,53.84615384615385,43.58974358974359,69.23076923076923,76.92307692307693,53.33333333333334,19.0
118633,0.16274217354504272,0.6452074382933202,0.1564383594816961,-0.18629743138595511,0.72,22.0,21.0,22.0,5.0,26.0,46.15384615384615,48.717948717948715,46.15384615384615,89.74358974358975,35.8974358974359,52.30769230769231,20.0
120506,0.1708486725575018,0.6488787755249534,0.16253853279981,-0.1982565826298267,1.41,19.0,20.0,20.0,19.0,27.0,53.84615384615385,51.28205128205128,51.28205128205128,53.84615384615385,33.33333333333333,50.64102564102564,21.0
120507,0.07237539728384412,0.49572339295190765,0.06746210411098824,-0.0009773140045925555,0.74,29.0,23.0,31.0,7.0,1.0,28.205128205128204,43.58974358974359,23.076923076923077,84.61538461538461,100.0,46.666666666666664,22.0
118634,0.16373474033415758,0.4484340089089893,0.17500721675611194,-0.2334488614483311,1.53,21.0,26.0,18.0,28.0,32.0,48.717948717948715,35.8974358974359,56.41025641025641,30.76923076923077,20.51282051282051,41.53846153846153,23.0
125498,0.11301817123279978,0.3006119210425449,0.11989100971217899,-0.21117279560132118,0.78,26.0,27.0,26.0,10.0,29.0,35.8974358974359,33.33333333333333,35.8974358974359,76.92307692307693,28.205128205128204,40.641025641025635,24.0
102887,0.16841120247307528,0.6195175900829826,0.16211256794033213,-0.21539827112383225,1.64,20.0,22.0,21.0,39.0,30.0,51.28205128205128,46.15384615384615,48.717948717948715,2.564102564102564,25.64102564102564,39.61538461538461,25.0
120844,0.06915272985067156,-0.08874729621698073,0.0645567749537528,-0.0011629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,25.64102564102564,15.384615384615385,20.51282051282051,94.87179487179486,97.43589743589743,39.61538461538461,25.0
149322,0.13393275924001857,0.46403744922047474,0.1317319022609936,-0.14844576917771746,1.54,25.0,25.0,24.0,30.0,16.0,38.46153846153847,38.46153846153847,41.02564102564102,25.64102564102564,61.53846153846154,39.35897435897436,27.0
119093,0.07897557854375958,0.12961449795668886,0.08232801295222025,-0.21751396370148224,0.75,28.0,29.0,28.0,8.0,31.0,30.76923076923077,28.205128205128204,30.76923076923077,82.05128205128204,23.076923076923077,37.051282051282044,28.0
120841,0.1353221114899239,0.4942725378672308,0.13042924450705362,-0.1757361416468729,1.59,24.0,24.0,25.0,35.0,24.0,41.02564102564102,41.02564102564102,38.46153846153847,12.82051282051282,41.02564102564102,36.28205128205128,29.0
118636,0.05316889625171273,-0.35662950751440037,0.050747729999759995,-0.08316361763638702,0.55,35.0,38.0,35.0,1.0,6.0,12.82051282051282,5.128205128205128,12.82051282051282,100.0,87.17948717948718,31.410256410256412,30.0
119120,0.05889418716346717,-0.2265753866279456,0.056208952166382664,-0.04328728923970093,0.77,34.0,37.0,34.0,9.0,5.0,15.384615384615385,7.6923076923076925,15.384615384615385,79.48717948717949,89.74358974358975,30.512820512820518,31.0
101208,0.06509026855465327,-0.8155673679101648,0.060861457957864774,-0.0016224980244717857,0.79,32.0,40.0,33.0,11.0,3.0,20.51282051282051,0.0,17.94871794871795,74.35897435897436,94.87179487179486,30.384615384615387,32.0
101207,0.07938764837247714,0.16266076928646744,0.10897091901704521,-0.3544691649336603,1.53,27.0,28.0,27.0,28.0,38.0,33.33333333333333,30.76923076923077,33.33333333333333,30.76923076923077,5.128205128205128,29.487179487179482,33.0
100025,0.04458209619173137,-0.5670947928477086,0.0428179203150603,-0.04308263824636349,0.56,36.0,39.0,38.0,2.0,4.0,10.256410256410255,2.564102564102564,5.128205128205128,97.43589743589743,92.3076923076923,28.58974358974359,34.0
120842,0.06701543482038463,0.07599984804658422,0.07804438876154987,-0.24003511326274884,1.56,31.0,30.0,29.0,33.0,33.0,23.076923076923077,25.64102564102564,28.205128205128204,17.94871794871795,17.94871794871795,23.461538461538463,35.0
119092,0.06367989237605243,0.0307848509545839,0.0689952982167752,-0.1440161790933726,1.64,33.0,31.0,30.0,39.0,15.0,17.94871794871795,23.076923076923077,25.64102564102564,2.564102564102564,64.1025641025641,23.076923076923073,36.0
119599,0.02054484701809378,-0.05718662582818192,0.0488242159455394,-0.5257422117012851,0.72,38.0,32.0,36.0,5.0,40.0,5.128205128205128,20.51282051282051,10.256410256410255,89.74358974358975,0.0,22.17948717948718,37.0
119095,0.015215045330823962,-0.07597357117478934,0.04801595363775957,-0.5167775370852656,1.38,39.0,33.0,37.0,16.0,39.0,2.564102564102564,17.94871794871795,7.6923076923076925,61.53846153846154,2.564102564102564,16.28205128205128,38.0
100016,0.026370743672111008,-0.2015170675596699,0.03747580763443287,-0.24734440880673303,1.55,37.0,35.0,39.0,32.0,34.0,7.6923076923076925,12.82051282051282,2.564102564102564,20.51282051282051,15.384615384615385,10.64102564102564,39.0
102886,0.011717454918341197,-0.20583160785470483,0.028969397866379254,-0.2800112356639287,1.51,40.0,36.0,40.0,24.0,35.0,0.0,10.256410256410255,0.0,41.02564102564102,12.82051282051282,10.0,40.0
